|faction_id|name|id|type|cp_cost|legend|turn|phase|detachment|detachment_id|description|Unnamed: 11
425|CSM|REAVERS’ HASTE|8969007|Renegade Raiders – Strategic Ploy Stratagem|1.0|The prospect of riches spurs these renegade warriors forwards. Woe betide any in their path.|Your turn|Charge phase|Renegade Raiders|869.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE"">Charge phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00263"" data-tooltip-content=""#tooltip_content00263"" data-tooltip-anchor=""#tooltip_content00263""><span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">INFANTRY</span></span> or <span class=""tooltip00267"" data-tooltip-content=""#tooltip_content00267"" data-tooltip-anchor=""#tooltip_content00267""><span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">MOUNTED</span></span> unit from your army.<br><br><b>EFFECT:</b> Until the end of the phase, your unit is eligible to <a href=""/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE"">declare a charge</a> in a turn in which it  <a href=""/wh40k10ed/the-rules/core-rules/#Advance-Moves"">Advanced</a>. If you select one or more units within range of an <a href=""/wh40k10ed/the-rules/core-rules/#Objective-Markers"">objective marker</a> as a target of that charge, add 1 to the <a href=""/wh40k10ed/the-rules/core-rules/#Charging-with-a-Unit"">Charge roll</a>."|
426|CSM|OPPORTUNISTIC RAIDERS|8969004|Renegade Raiders – Strategic Ploy Stratagem|1.0|Mobility is the key to victory These Heretic Astartes raiders outmanoeuvre and outflank the foe in order to achieve victory.|Either player’s turn|Fight phase|Renegade Raiders|869.0|"<b>WHEN:</b> End of the <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a><br><br><b>TARGET:</b> One <span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> unit from your army that was eligible to fight this phase.<br><br><b>EFFECT:</b> If your unit is not within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of one or more enemy units, it can make a <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Normal</a> move of up to 6"", or up to 12"" if it is a <span class=""tooltip00268"" data-tooltip-content=""#tooltip_content00268"" data-tooltip-anchor=""#tooltip_content00268""><span class=""kwb"">MOUNTED</span></span> unit. Otherwise, your unit can make a <a href=""/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves"">Fall Back move</a>. It cannot <a href=""/wh40k10ed/the-rules/core-rules/#Embark"">embark</a> within a <span class=""tooltip00395"" data-tooltip-content=""#tooltip_content00395"" data-tooltip-anchor=""#tooltip_content00395""><span class=""kwb"">TRANSPORT</span></span> at the end of this move if it <a href=""/wh40k10ed/the-rules/core-rules/#Disembark"">disembarked</a> from a <span class=""kwb"">TRANSPORT</span> this turn."|
427|CSM|WARPCHARGED ENGINES|8969005|Renegade Raiders – Wargear Stratagem|1.0|The engines of this vehicle or construct crackle with the raw energies of the immaterium, propelling it forward or incredible speed.|Your turn|Movement phase|Renegade Raiders|869.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00395"" data-tooltip-content=""#tooltip_content00395"" data-tooltip-anchor=""#tooltip_content00395""><span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">TRANSPORT</span></span> or <span class=""tooltip00267"" data-tooltip-content=""#tooltip_content00267"" data-tooltip-anchor=""#tooltip_content00267""><span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">MOUNTED</span></span> unit from your army that has not been selected to move this phase.<br><br><b>EFFECT:</b> Until the end of the phase, if your unit  <a href=""/wh40k10ed/the-rules/core-rules/#Advance-Moves"">Advances</a>, do not make an <a href=""/wh40k10ed/the-rules/core-rules/#Advance-Moves"">Advance roll</a> for it. Instead, until the end of the phase, add 6"" to the Move characteristic of models in your unit."|
428|CSM|DESPERATE PLEDGE|8986002|Soulforged Warpack – Battle Tactic Stratagem|1.0|A daemon construct may beseech the Arkifane for further aid, adding to its soul debt in return for greater might.|Either player’s turn|Shooting or Fight phase|Soulforged Warpack|873.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a> or the <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00744"" data-tooltip-content=""#tooltip_content00744"" data-tooltip-anchor=""#tooltip_content00744""><span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">DAEMON</span> <span class=""kwb"">VEHICLE</span></span> unit from your army that has not been selected to shoot or fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, if your unit invokes its contract, each time it makes an attack, improve the Armour Penetration characteristic of that attack by 1."|
429|CSM|DAEMONIC POSSESION|8986004|Soulforged Warpack – Epic Deed Stratagem|1.0|Those steeped in techno-sorcery may trammel daemonic entities within mechanical constructs.|Your turn|Command phase|Soulforged Warpack|873.0|"<b>WHEN:</b> Your Command phase.<br><br><b>TARGET:</b> One <span class=""tooltip00394"" data-tooltip-content=""#tooltip_content00394"" data-tooltip-anchor=""#tooltip_content00394""><span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">VEHICLE</span></span> unit from your army (excluding <span class=""tooltip00439"" data-tooltip-content=""#tooltip_content00439"" data-tooltip-anchor=""#tooltip_content00439""><span class=""kwb"">DAEMON</span></span> units).<br><br><b>EFFECT:</b> Until the end of the battle, your unit has the <span class=""kwb"">DAEMON</span> keyword."|
430|CSM|GLUT OF SOULS|8986003|Soulforged Warpack – Strategic Ploy Stratagem|1.0|Wrh each soul harvested the bound daemon comes closer to settling its contract and earning freedom.|Either player’s turn|Fight phase|Soulforged Warpack|873.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00744"" data-tooltip-content=""#tooltip_content00744"" data-tooltip-anchor=""#tooltip_content00744""><span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">DAEMON</span> <span class=""kwb"">VEHICLE</span></span> unit from your army (excluding <span class=""tooltip00745"" data-tooltip-content=""#tooltip_content00745"" data-tooltip-anchor=""#tooltip_content00745""><span class=""kwb"">TITANIC</span></span> units) that has not been selected to fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, if your unit invokes its contract, each time it makes an attack that destroys an enemy model, roll one D6: on 5+, your unit regains 1 lost wound after all of its attacks have been resolved (to a maximum of 6 wound)."|
431|CSM|UNSTOPPABLE RAMPAGE|8986005|Soulforged Warpack – Strategic Ploy Stratagem|1.0|The tortured machine spirits of Heretic Astartes vehicles are driven forward by their anguish.|Your turn|Movement or Charge phase|Soulforged Warpack|873.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a> or Charge phase.<br><br><b>TARGET:</b> One <span class=""tooltip00394"" data-tooltip-content=""#tooltip_content00394"" data-tooltip-anchor=""#tooltip_content00394""><span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">VEHICLE</span></span> or <a class=""kwbOne"" href=""/wh40k10ed/factions/chaos-space-marines/Vashtorr-The-Arkifane""><span class=""kwb kwbo"">VASHTORR</span> <span class=""kwb2 kwbo"">THE</span> <span class=""kwb kwbo"">ARKIFANE</span></a> unit from your army that has not been selected to move or charge this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time your unit makes <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Normal</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Advance-Moves"">Advance</a> or <a href=""/wh40k10ed/the-rules/core-rules/#Charging-with-a-Unit"">charge move</a>, it can move horizontally through <a href=""/wh40k10ed/the-rules/core-rules/#Terrain-Features"">terrain features</a> as if they were not there."|
432|CSM|PREDATORY PURSUIT|8986006|Soulforged Warpack – Strategic Ploy Stratagem|1.0|Corrupted Heretic Astartes Vehicles Pursue their prey with an animalistic determination.|Opponent’s turn|Movement phase|Soulforged Warpack|873.0|"<b>WHEN:</b> Your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>, just after an enemy unit ends a <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Normal</a>, <a href=""/wh40k10ed/the-rules/core-rules/#Advance-Moves"">Advance</a> or <a href=""/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves"">Fall back move</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00394"" data-tooltip-content=""#tooltip_content00394"" data-tooltip-anchor=""#tooltip_content00394""><span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">VEHICLE</span></span> or <a class=""kwbOne"" href=""/wh40k10ed/factions/chaos-space-marines/Vashtorr-The-Arkifane""><span class=""kwb kwbo"">VASHTORR</span> <span class=""kwb2 kwbo"">THE</span> <span class=""kwb kwbo"">ARKIFANE</span></a> unit from your army that is within 9"" of that enemy unit and not within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of one or more enemy units.<br><br><b>EFFECT:</b> Your unit can make a Normal move of up to 6"", but must end that move as close as possible to that enemy unit."|
433|CSM|FEEDING FRENZY|8986007|Soulforged Warpack – Strategic Ploy Stratagem|1.0|The daemonic entities at the heart of possessed vehicles hunger for the life force of their enemies.|Opponent’s turn|Movement phase|Soulforged Warpack|873.0|"<b>WHEN:</b> Your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>, when an enemy unit (excluding <span class=""kwb"">MONSTER</span> and <span class=""kwb"">VEHICLES</span>) is selected to <a href=""/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves"">Fall Back</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00744"" data-tooltip-content=""#tooltip_content00744"" data-tooltip-anchor=""#tooltip_content00744""><span class=""kwb"">HERETIC</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">DAEMON</span> <span class=""kwb"">VEHICLE</span></span> or <a class=""kwbOne"" href=""/wh40k10ed/factions/chaos-space-marines/Vashtorr-The-Arkifane""><span class=""kwb kwbo"">VASHTORR</span> <span class=""kwb2 kwbo"">THE</span> <span class=""kwb kwbo"">ARKIFANE</span></a> unit from your army that is within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of that enemy unit.<br><br><b>EFFECT:</b> Until the end of the phase, each time an enemy unit (excluding <span class=""kwb"">MONSTERS</span> and <span class=""kwb"">VEHICLES</span>) that is within Engagement Range of your units <a href=""/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves"">Falls Back</a>, all models in that enemy unit must take a <a href=""/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves"">Desperate Escape test</a>. When doing so, of that enemy unit is <a href=""/wh40k10ed/the-rules/core-rules/#2.-Battle-shock"">Battle-shocked</a>, substract 1 from each of those tests."|
434|CSM|INFERNAL ALTARS|9513002|Underdeck Uprising – Battle Tactic Stratagem|1.0|Whether heretical fanes unveiled amidst the rebellion or heaped corpses and votive offerings, these ritual foci lend the faithful supernatural protection.|Either player’s turn|Shooting or Fight phase|Underdeck Uprising|947.0|"<b>WHEN:</b> Your opponent’s <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Shooting-Phase"">Shooting phase</a> or the <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Fight-Phase"">Fight phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class=""tooltip00392"" data-tooltip-content=""#tooltip_content00392"" data-tooltip-anchor=""#tooltip_content00392""><span class=""kwb"">DAMNED</span></span> unit from your army that was selected as the target of one or more of the attacking unit's attacks.<br><br><b>EFFECT:</b> Until the end of the phase, each time an attack targets your unit, if your unit is within range of an <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Objective-Markers"">objective marker</a>, models in your unit have the <span class=""tooltip00059"" data-tooltip-content=""#tooltip_content00059""><span class=""tt kwbu"">Feel</span> <span class=""tt kwbu"">No</span> <span class=""tt kwbu"">Pain</span> <span class=""tt kwbu"">5+</span></span> ability against that attack. If your unit has the <a class=""kwbOne"" href=""/wh40k10ed/factions/chaos-space-marines/Cultist-Mob""><span class=""kwb kwbo"">CULTIST</span> <span class=""kwb kwbo"">MOB</span></a> keyword, models in it have the <span class=""tooltip00059"" data-tooltip-content=""#tooltip_content00059""><span class=""tt kwbu"">Feel</span> <span class=""tt kwbu"">No</span> <span class=""tt kwbu"">Pain</span> <span class=""tt kwbu"">4+</span></span> ability against that attack instead."|
435|CSM|FLEETING MIGHT|9513003|Underdeck Uprising – Battle Tactic Stratagem|1.0|For one tantalising instant, the dark prayers of these fanatics are answered by some infernal warp patron, placing the power to slay champions in their hands.|Either player’s turn|Shooting or Fight phase|Underdeck Uprising|947.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Shooting-Phase"">Shooting phase</a> or the <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Fight-Phase"">Fight phase</a>, just after a <span class=""tooltip00392"" data-tooltip-content=""#tooltip_content00392"" data-tooltip-anchor=""#tooltip_content00392""><span class=""kwb"">DAMNED</span></span> unit from your army makes a <span class=""tooltip00391"" data-tooltip-content=""#tooltip_content00391""><span class=""tt kwbu"">Dark</span> <span class=""tt kwbu"">Pact</span></span>.<br><br><b>TARGET:</b> That <span class=""kwb"">DAMNED</span> unit.<br><br><b>EFFECT:</b> Until the end of the phase, weapons equipped by models in your unit have the <span class=""kwb2 bluefont""><a href=""/wh40k10ed/the-rules/core-rules/#Devastating-Wounds"">[DEVASTATING WOUNDS]</a></span> ability."|
436|CSM|STORM THE BRIDGE!|9513005|Underdeck Uprising – Strategic Ploy Stratagem|1.0|Seizing their opportunity to strike a fatal blow against those who have oppressed them for so long - and please the Dark Gods in the process - these heretics surge forwards with zealous ferocity.|Your turn|Charge phase|Underdeck Uprising|947.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/boarding-action-rules/#Charge-Phase"">Charge phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00392"" data-tooltip-content=""#tooltip_content00392"" data-tooltip-anchor=""#tooltip_content00392""><span class=""kwb"">DAMNED</span></span> or <a class=""kwbOne"" href=""/wh40k10ed/factions/chaos-space-marines/Chaos-Spawn""><span class=""kwb kwbo"">CHAOS</span> <span class=""kwb kwbo"">SPAWN</span></a> unit from your army.<br><br><b>EFFECT:</b> Until the end of the phase, your unit is eligible to <a href=""/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE"">declare a charge</a> in a turn in which it <a href=""/wh40k10ed/the-rules/core-rules/#Advance-Moves"">Advanced</a>."|
